"Cor","CorRange","CorrB","CorrStrong","interaction","n1","n2","name","name2","Pvalue","selected","shared interaction","shared name","v1","v2"
"-0.3629","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV591_unknown","","0.007","false","interacts with","ASV78_ANPR (interacts with) ASV591_unknown","",""
"-0.465","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV59_ANPR","","0.002","false","interacts with","ASV78_ANPR (interacts with) ASV59_ANPR","",""
"-0.4039","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV58_ANPR","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV58_ANPR","",""
"-0.3509","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV56_ANPR","","0.005","false","interacts with","ASV78_ANPR (interacts with) ASV56_ANPR","",""
"-0.4556","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV55_ANPR","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV55_ANPR","",""
"-0.4438","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV53_ANPR","","0.002","false","interacts with","ASV78_ANPR (interacts with) ASV53_ANPR","",""
"-0.4635","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV51_Mesorhizobium","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV51_Mesorhizobium","",""
"-0.4129","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV50_ANPR","","0.003","false","interacts with","ASV78_ANPR (interacts with) ASV50_ANPR","",""
"-0.3877","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV498_unknown","","0.006","false","interacts with","ASV78_ANPR (interacts with) ASV498_unknown","",""
"0.7836","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV49_ANPR","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV49_ANPR","",""
"-0.3572","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV48_Pseudomonas","","0.006","false","interacts with","ASV78_ANPR (interacts with) ASV48_Pseudomonas","",""
"-0.5954","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV47_Mesorhizobium","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV47_Mesorhizobium","",""
"-0.4054","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV458_unknown","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV458_unknown","",""
"-0.354","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV43_unknown","","0.004","false","interacts with","ASV78_ANPR (interacts with) ASV43_unknown","",""
"-0.406","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV426_unknown","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV426_unknown","",""
"-0.4126","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV421_unknown","","0.002","false","interacts with","ASV78_ANPR (interacts with) ASV421_unknown","",""
"0.7272","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV41_unknown","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV41_unknown","",""
"-0.3689","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV396_unknown","","0.002","false","interacts with","ASV78_ANPR (interacts with) ASV396_unknown","",""
"0.87","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV39_unknown","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV39_unknown","",""
"-0.4032","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV386_unknown","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV386_unknown","",""
"-0.3997","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV375_unknown","","0.003","false","interacts with","ASV78_ANPR (interacts with) ASV375_unknown","",""
"0.7837","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV37_unknown","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV37_unknown","",""
"-0.4602","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV36_Mesorhizobium","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV36_Mesorhizobium","",""
"-0.6679","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV35_Mesorhizobium","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV35_Mesorhizobium","",""
"-0.4769","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV348_unknown","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV348_unknown","",""
"-0.3344","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV343_Mesorhizobium","","0.009","false","interacts with","ASV78_ANPR (interacts with) ASV343_Mesorhizobium","",""
"0.8049","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV34_ANPR","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV34_ANPR","",""
"-0.3225","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV336_Mesorhizobium","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV336_Mesorhizobium","",""
"0.8214","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV33_ANPR","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV33_ANPR","",""
"-0.501","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV32_ANPR","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV32_ANPR","",""
