"Class","Family","Genus","Kingdom","name","Order","Phylum","RAmean","RARange","RAsum","selected","shared name","X"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV109_Mesorhizobium","Rhizobiales","Proteobacteria","8.64511885283407E-5","Q3","0.00864511885283407","false","ASV109_Mesorhizobium","ASV109"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV852_Mesorhizobium","Rhizobiales","Proteobacteria","9.03122923262794E-6","Q1","9.03122923262794E-4","false","ASV852_Mesorhizobium","ASV852"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV380_ANPR","Rhizobiales","Proteobacteria","2.7533652542835E-5","Q2","0.0027533652542835","false","ASV380_ANPR","ASV380"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV215_Mesorhizobium","Rhizobiales","Proteobacteria","5.00075287531551E-5","Q2","0.00500075287531551","false","ASV215_Mesorhizobium","ASV215"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV1049_unknown","Rhizobiales","Proteobacteria","7.43627678118966E-6","Q1","7.43627678118966E-4","false","ASV1049_unknown","ASV1049"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV1168_ANPR","Rhizobiales","Proteobacteria","6.54023087764651E-6","Q1","6.54023087764651E-4","false","ASV1168_ANPR","ASV1168"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV98_unknown","Rhizobiales","Proteobacteria","1.57652425478692E-4","Q3","0.0157652425478692","false","ASV98_unknown","ASV98"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV93_ANPR","Rhizobiales","Proteobacteria","1.50911469787909E-4","Q3","0.0150911469787909","false","ASV93_ANPR","ASV93"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV76_Mesorhizobium","Rhizobiales","Proteobacteria","1.94929360516224E-4","Q3","0.0194929360516224","false","ASV76_Mesorhizobium","ASV76"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV74_ANPR","Rhizobiales","Proteobacteria","2.17032200264898E-4","Q3","0.0217032200264898","false","ASV74_ANPR","ASV74"
