Node1	Node2	Pvalue	Cor	CorrB	CorRange	CorrStrong	name	v1	n1	v2	n2	name2
ASV717_Pseudomonas	ASV68_Mesorhizobium	0.004	-0.4074	Negative	Strong	Negative_Strong	ASV717_Pseudomonas_ASV68_Mesorhizobium	ASV717	Pseudomonas	ASV68	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV72_ANPR	ASV717_Pseudomonas	0.002	-0.4084	Negative	Strong	Negative_Strong	ASV72_ANPR_ASV717_Pseudomonas	ASV72	ANPR	ASV717	Pseudomonas	ANPR_Pseudomonas
ASV75_ANPR	ASV717_Pseudomonas	0.002	-0.4181	Negative	Strong	Negative_Strong	ASV75_ANPR_ASV717_Pseudomonas	ASV75	ANPR	ASV717	Pseudomonas	ANPR_Pseudomonas
ASV78_ANPR	ASV717_Pseudomonas	0.004	-0.3689	Negative	Weak	Negative_Weak	ASV78_ANPR_ASV717_Pseudomonas	ASV78	ANPR	ASV717	Pseudomonas	ANPR_Pseudomonas
ASV8_Mesorhizobium	ASV717_Pseudomonas	0.003	-0.414	Negative	Strong	Negative_Strong	ASV8_Mesorhizobium_ASV717_Pseudomonas	ASV8	Mesorhizobium	ASV717	Pseudomonas	Mesorhizobium_Pseudomonas
ASV82_ANPR	ASV717_Pseudomonas	0.002	-0.3444	Negative	Weak	Negative_Weak	ASV82_ANPR_ASV717_Pseudomonas	ASV82	ANPR	ASV717	Pseudomonas	ANPR_Pseudomonas
ASV87_Mesorhizobium	ASV717_Pseudomonas	0.009	0.3868	Positive	Weak	Positive_Weak	ASV87_Mesorhizobium_ASV717_Pseudomonas	ASV87	Mesorhizobium	ASV717	Pseudomonas	Mesorhizobium_Pseudomonas
ASV879_Mesorhizobium	ASV717_Pseudomonas	0.001	0.4732	Positive	Strong	Positive_Strong	ASV879_Mesorhizobium_ASV717_Pseudomonas	ASV879	Mesorhizobium	ASV717	Pseudomonas	Mesorhizobium_Pseudomonas
ASV89_ANPR	ASV717_Pseudomonas	0.001	-0.3756	Negative	Weak	Negative_Weak	ASV89_ANPR_ASV717_Pseudomonas	ASV89	ANPR	ASV717	Pseudomonas	ANPR_Pseudomonas
ASV95_ANPR	ASV717_Pseudomonas	0.005	-0.3633	Negative	Weak	Negative_Weak	ASV95_ANPR_ASV717_Pseudomonas	ASV95	ANPR	ASV717	Pseudomonas	ANPR_Pseudomonas
