"Cor","CorRange","CorrB","CorrStrong","interaction","n1","n2","name","name2","Pvalue","selected","shared interaction","shared name","v1","v2"
"0.5908","Strong","Positive","Positive_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV57_Pseudomonas (interacts with) ASV274_Mesorhizobium","Pseudomonas_Mesorhizobium","0.003","false","interacts with","ASV57_Pseudomonas (interacts with) ASV274_Mesorhizobium","ASV57","ASV274"
"0.5068","Strong","Positive","Positive_Strong","interacts with","Pseudomonas","Pseudomonas","ASV57_Pseudomonas (interacts with) ASV28_Pseudomonas","Pseudomonas_Pseudomonas","0.003","false","interacts with","ASV57_Pseudomonas (interacts with) ASV28_Pseudomonas","ASV57","ASV28"
"-0.4109","Strong","Negative","Negative_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV57_Pseudomonas (interacts with) ASV31_Mesorhizobium","Pseudomonas_Mesorhizobium","0.006","false","interacts with","ASV57_Pseudomonas (interacts with) ASV31_Mesorhizobium","ASV57","ASV31"
"-0.4092","Strong","Negative","Negative_Strong","interacts with","Pseudomonas","ANPR","ASV57_Pseudomonas (interacts with) ASV33_ANPR","Pseudomonas_ANPR","0.007","false","interacts with","ASV57_Pseudomonas (interacts with) ASV33_ANPR","ASV57","ASV33"
"0.5635","Strong","Positive","Positive_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV57_Pseudomonas (interacts with) ASV343_Mesorhizobium","Pseudomonas_Mesorhizobium","0.001","false","interacts with","ASV57_Pseudomonas (interacts with) ASV343_Mesorhizobium","ASV57","ASV343"
"0.3768","Weak","Positive","Positive_Weak","interacts with","Pseudomonas","Mesorhizobium","ASV57_Pseudomonas (interacts with) ASV4_Mesorhizobium","Pseudomonas_Mesorhizobium","0.007","false","interacts with","ASV57_Pseudomonas (interacts with) ASV4_Mesorhizobium","ASV57","ASV4"
"0.3468","Weak","Positive","Positive_Weak","interacts with","Pseudomonas","Mesorhizobium","ASV57_Pseudomonas (interacts with) ASV47_Mesorhizobium","Pseudomonas_Mesorhizobium","0.008","false","interacts with","ASV57_Pseudomonas (interacts with) ASV47_Mesorhizobium","ASV57","ASV47"
"0.7465","Strong","Positive","Positive_Strong","interacts with","Pseudomonas","Pseudomonas","ASV57_Pseudomonas (interacts with) ASV48_Pseudomonas","Pseudomonas_Pseudomonas","0.001","false","interacts with","ASV57_Pseudomonas (interacts with) ASV48_Pseudomonas","ASV57","ASV48"
"-0.3992","Weak","Negative","Negative_Weak","interacts with","Pseudomonas","ANPR","ASV57_Pseudomonas (interacts with) ASV49_ANPR","Pseudomonas_ANPR","0.004","false","interacts with","ASV57_Pseudomonas (interacts with) ASV49_ANPR","ASV57","ASV49"
"-0.3658","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV261_ANPR (interacts with) ASV141_Pseudomonas","ANPR_Pseudomonas","0.001","false","interacts with","ASV261_ANPR (interacts with) ASV141_Pseudomonas","ASV261","ASV141"
"-0.3235","Weak","Negative","Negative_Weak","interacts with","ANPR","Pseudomonas","ASV162_ANPR (interacts with) ASV141_Pseudomonas","ANPR_Pseudomonas","0.005","false","interacts with","ASV162_ANPR (interacts with) ASV141_Pseudomonas","ASV162","ASV141"
"-0.3872","Weak","Negative","Negative_Weak","interacts with","Pseudomonas","Mesorhizobium","ASV48_Pseudomonas (interacts with) ASV106_Mesorhizobium","Pseudomonas_Mesorhizobium","0.004","false","interacts with","ASV48_Pseudomonas (interacts with) ASV106_Mesorhizobium","ASV48","ASV106"
"-0.3291","Weak","Negative","Negative_Weak","interacts with","Pseudomonas","ANPR","ASV48_Pseudomonas (interacts with) ASV139_ANPR","Pseudomonas_ANPR","0.007","false","interacts with","ASV48_Pseudomonas (interacts with) ASV139_ANPR","ASV48","ASV139"
"-0.4793","Strong","Negative","Negative_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV48_Pseudomonas (interacts with) ASV15_Mesorhizobium","Pseudomonas_Mesorhizobium","0.001","false","interacts with","ASV48_Pseudomonas (interacts with) ASV15_Mesorhizobium","ASV48","ASV15"
"-0.3971","Weak","Negative","Negative_Weak","interacts with","Pseudomonas","ANPR","ASV48_Pseudomonas (interacts with) ASV21_ANPR","Pseudomonas_ANPR","0.004","false","interacts with","ASV48_Pseudomonas (interacts with) ASV21_ANPR","ASV48","ASV21"
"0.5986","Strong","Positive","Positive_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV48_Pseudomonas (interacts with) ASV274_Mesorhizobium","Pseudomonas_Mesorhizobium","0.001","false","interacts with","ASV48_Pseudomonas (interacts with) ASV274_Mesorhizobium","ASV48","ASV274"
"0.4939","Strong","Positive","Positive_Strong","interacts with","Pseudomonas","Pseudomonas","ASV48_Pseudomonas (interacts with) ASV28_Pseudomonas","Pseudomonas_Pseudomonas","0.006","false","interacts with","ASV48_Pseudomonas (interacts with) ASV28_Pseudomonas","ASV48","ASV28"
"-0.404","Strong","Negative","Negative_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV48_Pseudomonas (interacts with) ASV31_Mesorhizobium","Pseudomonas_Mesorhizobium","0.003","false","interacts with","ASV48_Pseudomonas (interacts with) ASV31_Mesorhizobium","ASV48","ASV31"
"-0.4035","Strong","Negative","Negative_Strong","interacts with","Pseudomonas","ANPR","ASV48_Pseudomonas (interacts with) ASV33_ANPR","Pseudomonas_ANPR","0.003","false","interacts with","ASV48_Pseudomonas (interacts with) ASV33_ANPR","ASV48","ASV33"
"0.5279","Strong","Positive","Positive_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV48_Pseudomonas (interacts with) ASV343_Mesorhizobium","Pseudomonas_Mesorhizobium","0.002","false","interacts with","ASV48_Pseudomonas (interacts with) ASV343_Mesorhizobium","ASV48","ASV343"
"0.4011","Strong","Positive","Positive_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV48_Pseudomonas (interacts with) ASV4_Mesorhizobium","Pseudomonas_Mesorhizobium","0.003","false","interacts with","ASV48_Pseudomonas (interacts with) ASV4_Mesorhizobium","ASV48","ASV4"
"0.367","Weak","Positive","Positive_Weak","interacts with","Pseudomonas","Mesorhizobium","ASV48_Pseudomonas (interacts with) ASV47_Mesorhizobium","Pseudomonas_Mesorhizobium","0.006","false","interacts with","ASV48_Pseudomonas (interacts with) ASV47_Mesorhizobium","ASV48","ASV47"
