,H2S2,CV,ASV
ASV229_Achromobacter,-0.00273749288713225,1,ASV229_Achromobacter
ASV234_Achromobacter,-0.0029015374047132,1,ASV234_Achromobacter
ASV165_Herbaspirillum,-0.0032376972238969113,1,ASV165_Herbaspirillum
ASV156_Duganella,-0.00331677508984001,1,ASV156_Duganella
ASV28_Pseudomonas,-0.004792524502133655,1,ASV28_Pseudomonas
ASV48_Pseudomonas,-0.00486323980193351,1,ASV48_Pseudomonas
ASV119_Rhizobacter,-0.005579192078953532,1,ASV119_Rhizobacter
ASV57_Pseudomonas,-0.0215220466871021,1,ASV57_Pseudomonas
ASV1_Mesorhizobium,-1.6850700307957611,1,ASV1_Mesorhizobium
ASV3_ANPR,0.8461038580886934,2,ASV3_ANPR
ASV17_ANPR,0.1263897155406131,2,ASV17_ANPR
ASV9_ANPR,0.08744573314713461,2,ASV9_ANPR
ASV22_Mesorhizobium,0.08518178845758412,2,ASV22_Mesorhizobium
ASV11_unknown,0.06503058551671004,2,ASV11_unknown
ASV12_Mesorhizobium,0.06268342623030038,2,ASV12_Mesorhizobium
ASV32_ANPR,0.05947165007940751,2,ASV32_ANPR
ASV8_Mesorhizobium,0.05773353922412611,2,ASV8_Mesorhizobium
ASV36_Mesorhizobium,0.037014678480435,2,ASV36_Mesorhizobium
ASV18_ANPR,0.03475060317714599,2,ASV18_ANPR
ASV21_ANPR,0.03335218809331471,2,ASV21_ANPR
ASV27_unknown,0.030602921968588628,2,ASV27_unknown
ASV15_Mesorhizobium,0.029979073407644205,2,ASV15_Mesorhizobium
ASV50_ANPR,0.02568506855475561,2,ASV50_ANPR
ASV51_Mesorhizobium,0.0252975624595962,2,ASV51_Mesorhizobium
ASV53_ANPR,0.0244086777959463,2,ASV53_ANPR
ASV55_ANPR,0.0236861619196106,2,ASV55_ANPR
ASV59_ANPR,0.0218085713199224,2,ASV59_ANPR
ASV33_ANPR,0.021565232525744965,2,ASV33_ANPR
ASV63_unknown,0.0191561775107427,2,ASV63_unknown
ASV39_unknown,0.018199656044163764,2,ASV39_unknown
ASV66_Mesorhizobium,0.0167509601855725,2,ASV66_Mesorhizobium
ASV34_ANPR,0.016355711112410957,2,ASV34_ANPR
ASV31_Mesorhizobium,0.016286127750056507,2,ASV31_Mesorhizobium
ASV77_Caulobacter,0.01379361631809977,2,ASV77_Caulobacter
